Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,935.385,0,935.385,19999,507,0,0,0,0,0,0,0,0,0,0,0,
1,504.29231516555859,7.609324629242832,511.90163979480144,19999,507,-0.62025082980267943,-0.053137141189644528,0.22231891986760702,0.070166119564842963,0.90627449150759887,-0.62025082980267943,-0.053137141189644528,0.22231891986760702,0.070166119564842963,0.90627449150759887,1403.2522251772943,
2,420.28103614539805,18.398865143876872,438.67990128927494,19999,507,-0.45452584973092874,-0.019788445732232724,0.097985580635172334,0.014671156977056286,0.29580760791127575,-1.0747766795336082,-0.072925586921876964,0.31535022146398956,0.14414044726464861,1.1985384108296979,2882.6648048457077,
3,387.32436894494299,27.397532784245943,414.72190172918891,19999,507,-0.25119738285619814,-0.0044999174031917135,0.050770016384620913,0.0039658268688158322,0.19919356745754596,-1.3259740623898064,-0.077425504325068631,0.35831198391023628,0.18758169204007999,1.3492670993255966,3751.4462591095598,
4,369.00765911890068,34.339730329722599,403.34738944862329,19999,507,-0.16067312861462366,-0.0018497039500756634,0.031658237999062491,0.0015189947281822279,0.14115236581470464,-1.4089782272873594,-0.079275208275144352,0.38181640298912151,0.21333614477408847,1.4393378082938677,4266.5095593369952,
5,357.32636917056294,39.672045761294669,396.99841493185761,19999,507,-0.10751709458960497,-0.0017885242028669388,0.021934862964497957,0.00073817005447059602,0.096483206574527469,-1.4218587657232422,-0.0810637324780112,0.39677818760166228,0.23004909792309988,1.4973069080705017,4600.7519093640749,
6,349.30681294590676,43.8173828641483,393.12419581005508,19999,507,-0.081751862834269703,-0.001901288745941831,0.016137153877994505,0.00041127687476015247,0.06841297894125152,-1.4198287781821972,-0.082965021223953286,0.40726311947126609,0.24171186845412082,1.5363002899268279,4833.9956572139627,
7,343.5251131119777,47.088847590489159,390.61396070246684,19999,507,-0.068407980445620284,-0.0018819182862796974,0.012378644524382204,0.00024931826974513302,0.055946643240291166,-1.4168748124151294,-0.084846939510232561,0.41507751454483144,0.25027341048058604,1.5632901290590324,5005.2179362012403,
8,339.20382456107131,49.709628093217901,388.91345265428924,19999,507,-0.053502786277212597,-0.0017633071266844665,0.0097922783865685929,0.00016031557090973757,0.048255253020818477,-1.4150175822572981,-0.086610246636917507,0.42113534740094832,0.25679545429777267,1.58234030507914,5135.6522905011561,
9,335.88264639969395,51.838424258296037,387.72107065798997,19999,507,-0.045618099264124794,-0.0016006783722056358,0.0079333966141117169,0.00010769481920714517,0.042154032476749322,-1.4140545104815689,-0.088210925009123017,0.42596330432760815,0.26190669150509965,1.595974009973099,5237.8719234104883,
